CustomerID,Amount,Frequency,Recency,Cluster_Id
14606.0,11713.85,2782,5,1
14607.0,11341.1,114,16,0
14667.0,9231.2,576,11,0
14688.0,5107.38,359,0,0
14709.0,4911.14,197,16,3
14733.0,9451.54,216,10,0
14735.0,5807.6900000000005,205,12,0
14755.0,4965.38,237,10,0
14769.0,10641.6,1094,78,1
14796.0,7839.51,1165,23,1
14849.0,7904.28,392,2,0
14866.0,14197.45,103,11,0
14895.0,11020.26,506,41,3
14936.0,8117.42,366,10,0
14944.0,5842.95,172,60,2
14952.0,7912.79,149,1,0
14961.0,7006.58,317,6,0
15005.0,6180.49,1160,16,1
15023.0,6763.16,563,40,3
15039.0,19786.44,1508,10,1
15044.0,7629.38,461,6,0
15046.0,5064.01,207,10,0
15078.0,9623.35,451,12,0
15125.0,11117.05,140,26,3
15144.0,6530.04,218,0,0
15150.0,5303.97,344,18,0
15152.0,4684.24,278,10,0
15159.0,18573.68,720,19,1
15187.0,4670.08,93,16,3
15189.0,15802.14,232,6,0
15194.0,7521.17,326,4,0
15218.0,5756.89,166,11,0
15249.0,6657.36,358,2,0
15251.0,10327.11,121,3,0
15290.0,7803.7699999999995,212,43,3
15291.0,4596.51,109,4,0
15301.0,5028.12,247,51,3
15358.0,8234.8,561,1,0
15382.0,5927.86,306,15,0
15465.0,6945.0199999999995,104,4,0
15482.0,6568.72,127,16,0
15498.0,12396.46,523,5,0
15502.0,5541.46,252,16,0
15513.0,14520.08,314,5,0
15547.0,4954.84,702,31,3
15555.0,4758.2,925,0,0
15601.0,6745.36,414,12,0
15615.0,10360.04,429,11,0
15640.0,12433.34,495,17,0
15694.0,6423.6,79,26,3
15719.0,5043.96,938,3,0
15727.0,5178.96,302,9,0
15738.0,4788.77,176,19,3
15749.0,21535.9,15,39,1
15786.0,4834.2,280,44,3
15805.0,5452.17,307,24,3
15856.0,16173.67,653,33,1
15903.0,5126.34,75,10,0
15939.0,6102.26,77,4,0
16000.0,12393.7,9,151,2
16033.0,8727.61,1152,5,1
16126.0,6287.77,117,60,2
16133.0,14305.66,365,17,0
16161.0,5352.97,502,15,0
16180.0,10217.48,176,32,3
16182.0,6617.65,28,73,2
16187.0,6841.24,297,0,0
16191.0,4913.32,151,1,0
16210.0,21086.3,123,10,1
16258.0,5203.51,135,46,3
16265.0,5423.15,260,10,0
16303.0,5305.83,167,26,3
16353.0,6675.71,94,9,0
16523.0,9295.67,298,16,0
16525.0,11895.57,200,9,0
16532.0,6748.8,4,18,3
16553.0,5664.57,86,6,0
16558.0,8257.04,474,6,0
16609.0,5450.96,280,3,0
16652.0,6654.26,123,0,0
16656.0,8568.24,80,3,0
16672.0,8093.59,117,6,0
16700.0,5040.0,312,3,0
16701.0,5150.2699999999995,154,3,0
16705.0,13946.130000000001,284,0,0
16713.0,6840.2300000000005,632,0,0
16722.0,4711.21,228,18,3
16729.0,7076.28,668,6,0
16745.0,7170.7,358,2,0
16746.0,6694.31,452,2,0
16767.0,5580.6,222,65,2
16779.0,10454.05,344,9,0
16814.0,6500.6,325,6,0
16839.0,15357.78,298,1,0
16843.0,10183.82,379,6,0
16873.0,7066.31,289,58,2
16923.0,6666.83,696,13,0
16931.0,4604.22,898,20,0
16985.0,5461.62,121,1,0
17017.0,8574.11,268,0,0
17049.0,5594.78,322,22,3
17061.0,5116.13,101,74,2
17107.0,10380.43,421,76,2
17133.0,4892.240000000001,27,16,3
17139.0,10585.57,487,1,0
17243.0,8628.55,407,15,0
17306.0,8600.73,69,11,0
17315.0,6204.46,487,5,0
17338.0,6612.18,757,9,0
17340.0,11891.18,424,10,0
17365.0,4801.56,468,13,0
17381.0,20272.43,110,2,1
17396.0,7330.8,27,40,3
17416.0,6838.34,271,60,2
17426.0,5022.26,272,92,2
17428.0,17078.45,343,6,1
17509.0,6100.74,369,58,2
17581.0,10736.11,452,66,2
17602.0,5050.77,565,24,0
17652.0,4737.13,270,26,3
17675.0,20098.1,721,3,1
17677.0,16219.22,321,29,0
17686.0,5739.46,286,32,3
17690.0,4748.45,258,46,3
17706.0,10097.37,395,33,3
17716.0,5505.79,254,23,3
17719.0,5367.8,278,1,0
17730.0,5288.83,220,26,3
17735.0,13110.02,690,109,2
17757.0,5585.49,742,14,0
17809.0,4627.62,64,17,3
17811.0,7677.71,872,1,0
17850.0,5288.63,312,69,2
17858.0,5155.66,199,2,0
17865.0,10158.54,389,1,0
18055.0,6752.14,363,40,3
18092.0,9065.76,90,2,0
18109.0,7925.32,454,4,0
18118.0,5595.77,1284,11,1
18139.0,8393.22,162,18,0
18172.0,7490.17,197,4,0
18198.0,5083.06,166,72,2
18223.0,6315.2300000000005,299,1,0
18225.0,5361.02,286,22,3
18226.0,5192.1,245,9,0
18229.0,7276.900000000001,164,0,0
